provinceID,cityID,districtID,townID,villageID,pollStationID,no,vote,votePercentage,isElected,id,voteID,oldID
03,002,00,001,0001,1,1,147,38.38,*,10002010034,200901,03002001001
03,002,00,001,0001,1,2,236,61.61, ,10002010034,200901,03002001001
03,002,00,001,0002,2,1,333,42.04,*,10002010035,200901,03002001002
03,002,00,001,0002,2,2,459,57.95, ,10002010035,200901,03002001002
03,002,00,001,0002,3,1,477,48.47,*,10002010035,200901,03002001002
03,002,00,001,0002,3,2,507,51.52, ,10002010035,200901,03002001002
03,002,00,001,0003,4,1,317,41.27,*,10002010036,200901,03002001003
03,002,00,001,0003,4,2,451,58.72, ,10002010036,200901,03002001003
03,002,00,001,0003,5,1,331,41.22,*,10002010036,200901,03002001003
03,002,00,001,0003,5,2,472,58.77, ,10002010036,200901,03002001003
03,002,00,001,0004,6,1,417,45.62,*,10002010037,200901,03002001004
03,002,00,001,0004,6,2,497,54.37, ,10002010037,200901,03002001004
03,002,00,001,0004,7,1,312,39.79,*,10002010037,200901,03002001004
03,002,00,001,0004,7,2,472,60.2, ,10002010037,200901,03002001004
03,002,00,001,0005,8,1,201,29.68,*,10002010040,200901,03002001005
03,002,00,001,0005,8,2,476,70.31, ,10002010040,200901,03002001005
03,002,00,001,0005,9,1,250,46.81,*,10002010040,200901,03002001005
03,002,00,001,0005,9,2,284,53.18, ,10002010040,200901,03002001005
03,002,00,001,0005,10,1,289,41.46,*,10002010040,200901,03002001005
03,002,00,001,0005,10,2,408,58.53, ,10002010040,200901,03002001005
03,002,00,001,0006,11,1,503,41.95,*,10002010038,200901,03002001006
03,002,00,001,0006,11,2,696,58.04, ,10002010038,200901,03002001006
03,002,00,001,0006,12,1,502,42.75,*,10002010038,200901,03002001006
03,002,00,001,0006,12,2,672,57.24, ,10002010038,200901,03002001006
03,002,00,001,0006,13,1,366,40.26,*,10002010038,200901,03002001006
03,002,00,001,0006,13,2,543,59.73, ,10002010038,200901,03002001006
03,002,00,001,0006,14,1,309,38.14,*,10002010038,200901,03002001006
03,002,00,001,0006,14,2,501,61.85, ,10002010038,200901,03002001006
03,002,00,001,0007,15,1,280,47.94,*,10002010039,200901,03002001007
03,002,00,001,0007,15,2,304,52.05, ,10002010039,200901,03002001007
03,002,00,001,0007,16,1,304,42.45,*,10002010039,200901,03002001007
03,002,00,001,0007,16,2,412,57.54, ,10002010039,200901,03002001007
03,002,00,001,0007,17,1,337,44.99,*,10002010039,200901,03002001007
03,002,00,001,0007,17,2,412,55, ,10002010039,200901,03002001007
03,002,00,001,0008,18,1,160,41.99,*,10002010001,200901,03002001008
03,002,00,001,0008,18,2,221,58, ,10002010001,200901,03002001008
03,002,00,001,0009,19,1,173,56.35,*,,200901,03002001009
03,002,00,001,0009,19,2,134,43.64, ,,200901,03002001009
03,002,00,001,0010,20,1,294,58.56,*,,200901,03002001010
03,002,00,001,0010,20,2,208,41.43, ,,200901,03002001010
03,002,00,001,0011,21,1,204,49.63,*,,200901,03002001011
03,002,00,001,0011,21,2,207,50.36, ,,200901,03002001011
03,002,00,001,0012,22,1,165,44.83,*,,200901,03002001012
03,002,00,001,0012,22,2,203,55.16, ,,200901,03002001012
03,002,00,001,0013,23,1,323,43.06,*,,200901,03002001013
03,002,00,001,0013,23,2,427,56.93, ,,200901,03002001013
03,002,00,001,0013,24,1,276,44.01,*,,200901,03002001013
03,002,00,001,0013,24,2,351,55.98, ,,200901,03002001013
03,002,00,001,0014,25,1,156,41.16,*,10002010002,200901,03002001014
03,002,00,001,0014,25,2,223,58.83, ,10002010002,200901,03002001014
03,002,00,001,0014,26,1,267,37.81,*,10002010002,200901,03002001014
03,002,00,001,0014,26,2,439,62.18, ,10002010002,200901,03002001014
03,002,00,001,0015,27,1,408,45.13,*,10002010008,200901,03002001015
03,002,00,001,0015,27,2,496,54.86, ,10002010008,200901,03002001015
03,002,00,001,0015,28,1,457,45.06,*,10002010008,200901,03002001015
03,002,00,001,0015,28,2,557,54.93, ,10002010008,200901,03002001015
03,002,00,001,0015,29,1,293,60.91,*,10002010008,200901,03002001015
03,002,00,001,0015,29,2,188,39.08, ,10002010008,200901,03002001015
03,002,00,001,0015,30,1,427,45.18,*,10002010008,200901,03002001015
03,002,00,001,0015,30,2,518,54.81, ,10002010008,200901,03002001015
03,002,00,001,0016,31,1,285,54.7,*,10002010009,200901,03002001016
03,002,00,001,0016,31,2,236,45.29, ,10002010009,200901,03002001016
03,002,00,001,0017,32,1,445,53.22,*,10002010010,200901,03002001017
03,002,00,001,0017,32,2,391,46.77, ,10002010010,200901,03002001017
03,002,00,001,0018,33,1,383,54.09,*,10002010011,200901,03002001018
03,002,00,001,0018,33,2,325,45.9, ,10002010011,200901,03002001018
03,002,00,001,0019,34,1,457,54.53,*,10002010012,200901,03002001019
03,002,00,001,0019,34,2,381,45.46, ,10002010012,200901,03002001019
03,002,00,001,0020,35,1,542,51.32,*,10002010013,200901,03002001020
03,002,00,001,0020,35,2,514,48.67, ,10002010013,200901,03002001020
03,002,00,001,0021,36,1,389,47.26,*,10002010014,200901,03002001021
03,002,00,001,0021,36,2,434,52.73, ,10002010014,200901,03002001021
03,002,00,001,0021,37,1,471,45.5,*,10002010014,200901,03002001021
03,002,00,001,0021,37,2,564,54.49, ,10002010014,200901,03002001021
03,002,00,001,0021,38,1,476,44.94,*,10002010014,200901,03002001021
03,002,00,001,0021,38,2,583,55.05, ,10002010014,200901,03002001021
03,002,00,001,0022,39,1,339,47.74,*,10002010015,200901,03002001022
03,002,00,001,0022,39,2,371,52.25, ,10002010015,200901,03002001022
03,002,00,001,0022,40,1,393,46.56,*,10002010015,200901,03002001022
03,002,00,001,0022,40,2,451,53.43, ,10002010015,200901,03002001022
03,002,00,001,0022,41,1,430,44.55,*,10002010015,200901,03002001022
03,002,00,001,0022,41,2,535,55.44, ,10002010015,200901,03002001022
03,002,00,001,0022,42,1,353,41.82,*,10002010015,200901,03002001022
03,002,00,001,0022,42,2,491,58.17, ,10002010015,200901,03002001022
03,002,00,001,0023,43,1,561,61.17,*,10002010016,200901,03002001023
03,002,00,001,0023,43,2,356,38.82, ,10002010016,200901,03002001023
03,002,00,001,0024,44,1,433,47.58,*,10002010017,200901,03002001024
03,002,00,001,0024,44,2,477,52.41, ,10002010017,200901,03002001024
03,002,00,001,0024,45,1,404,43.39,*,10002010017,200901,03002001024
03,002,00,001,0024,45,2,527,56.6, ,10002010017,200901,03002001024
03,002,00,001,0024,46,1,445,45.17,*,10002010017,200901,03002001024
03,002,00,001,0024,46,2,540,54.82, ,10002010017,200901,03002001024
03,002,00,001,0025,47,1,220,51.4,*,10002010018,200901,03002001025
03,002,00,001,0025,47,2,208,48.59, ,10002010018,200901,03002001025
03,002,00,001,0026,48,1,199,57.34,*,10002010019,200901,03002001026
03,002,00,001,0026,48,2,148,42.65, ,10002010019,200901,03002001026
03,002,00,001,0027,49,1,217,53.71,*,,200901,03002001027
03,002,00,001,0027,49,2,187,46.28, ,,200901,03002001027
03,002,00,001,0028,50,1,416,46.68,*,10002010021,200901,03002001028
03,002,00,001,0028,50,2,475,53.31, ,10002010021,200901,03002001028
03,002,00,001,0029,51,1,462,52.61,*,10002010022,200901,03002001029
03,002,00,001,0029,51,2,416,47.38, ,10002010022,200901,03002001029
03,002,00,001,0030,52,1,358,51.65,*,10002010023,200901,03002001030
03,002,00,001,0030,52,2,335,48.34, ,10002010023,200901,03002001030
03,002,00,001,0031,53,1,507,56.08,*,10002010024,200901,03002001031
03,002,00,001,0031,53,2,397,43.91, ,10002010024,200901,03002001031
03,002,00,001,0031,54,1,361,50.63,*,10002010024,200901,03002001031
03,002,00,001,0031,54,2,352,49.36, ,10002010024,200901,03002001031
03,002,00,001,0032,55,1,310,51.32,*,10002010025,200901,03002001032
03,002,00,001,0032,55,2,294,48.67, ,10002010025,200901,03002001032
03,002,00,001,0032,56,1,503,57.74,*,10002010025,200901,03002001032
03,002,00,001,0032,56,2,368,42.25, ,10002010025,200901,03002001032
03,002,00,001,0033,57,1,647,54.23,*,10002010026,200901,03002001033
03,002,00,001,0033,57,2,546,45.76, ,10002010026,200901,03002001033
03,002,00,001,0034,58,1,591,56.6,*,10002010027,200901,03002001034
03,002,00,001,0034,58,2,453,43.39, ,10002010027,200901,03002001034
03,002,00,001,0034,59,1,508,59.13,*,10002010027,200901,03002001034
03,002,00,001,0034,59,2,351,40.86, ,10002010027,200901,03002001034
03,002,00,001,0035,60,1,279,49.2,*,10002010028,200901,03002001035
03,002,00,001,0035,60,2,288,50.79, ,10002010028,200901,03002001035
03,002,00,001,0036,61,1,292,59.71,*,,200901,03002001036
03,002,00,001,0036,61,2,197,40.28, ,,200901,03002001036
03,002,00,001,0037,62,1,294,59.87,*,,200901,03002001037
03,002,00,001,0037,62,2,197,40.12, ,,200901,03002001037
03,002,00,001,0038,63,1,452,52.86,*,10002010032,200901,03002001038
03,002,00,001,0038,63,2,403,47.13, ,10002010032,200901,03002001038
03,002,00,001,0039,64,1,292,58.05,*,10002010031,200901,03002001039
03,002,00,001,0039,64,2,211,41.94, ,10002010031,200901,03002001039
03,002,00,001,0040,65,1,425,45.35,*,,200901,03002001040
03,002,00,001,0040,65,2,512,54.64, ,,200901,03002001040
03,002,00,002,0041,66,1,318,62.97,*,10002020028,200901,03002002041
03,002,00,002,0041,66,2,187,37.02, ,10002020028,200901,03002002041
03,002,00,002,0041,67,1,325,64.74,*,10002020028,200901,03002002041
03,002,00,002,0041,67,2,177,35.25, ,10002020028,200901,03002002041
03,002,00,002,0042,68,1,648,66.66,*,10002020004,200901,03002002042
03,002,00,002,0042,68,2,324,33.33, ,10002020004,200901,03002002042
03,002,00,002,0043,69,1,623,66.48,*,10002020005,200901,03002002043
03,002,00,002,0043,69,2,314,33.51, ,10002020005,200901,03002002043
03,002,00,002,0043,70,1,609,55.26,*,10002020005,200901,03002002043
03,002,00,002,0043,70,2,493,44.73, ,10002020005,200901,03002002043
03,002,00,002,0044,71,1,639,73.53,*,10002020006,200901,03002002044
03,002,00,002,0044,71,2,230,26.46, ,10002020006,200901,03002002044
03,002,00,002,0044,72,1,461,68.49,*,10002020006,200901,03002002044
03,002,00,002,0044,72,2,212,31.5, ,10002020006,200901,03002002044
03,002,00,002,0045,73,1,453,64.34,*,10002020007,200901,03002002045
03,002,00,002,0045,73,2,251,35.65, ,10002020007,200901,03002002045
03,002,00,002,0045,74,1,460,53.67,*,10002020007,200901,03002002045
03,002,00,002,0045,74,2,397,46.32, ,10002020007,200901,03002002045
03,002,00,002,0046,75,1,471,55.28,*,10002020008,200901,03002002046
03,002,00,002,0046,75,2,381,44.71, ,10002020008,200901,03002002046
03,002,00,002,0046,76,1,340,44.85,*,10002020008,200901,03002002046
03,002,00,002,0046,76,2,418,55.14, ,10002020008,200901,03002002046
03,002,00,002,0047,77,1,537,59.14,*,10002020009,200901,03002002047
